NDVI,GNDVI,NDRE,DryYield
0.65606,0.7718,0.5344,408.5295
0.65885,0.77811,0.53905,406.0351
0.65885,0.77811,0.53905,409.1228
0.6424,0.7607,0.52294,408.8678
0.63708,0.77288,0.51981,377.3459
0.64603,0.77112,0.52503,334.2968
0.64597,0.76659,0.52552,364.7242
0.64597,0.76659,0.52552,392.9394
0.63678,0.76068,0.51312,367.1306
0.62655,0.76449,0.51414,379.6836
0.6277,0.75355,0.50923,332.5843
0.6277,0.75355,0.50923,349.1321
0.6339,0.76119,0.51515,397.8394
0.6355,0.77208,0.51534,316.2735
0.6521,0.77784,0.52585,365.1236
0.66289,0.78149,0.548,614.2
0.66289,0.78149,0.548,380.1298
0.66805,0.78159,0.56812,423.1513
0.66215,0.7812,0.56091,443.2759
0.67001,0.78631,0.56588,400.8465
0.67001,0.78631,0.56588,429.2393
0.68131,0.78557,0.57475,467.9659
0.67795,0.7841,0.55606,355.8524
0.6687,0.78489,0.54898,437.6912
0.6687,0.78489,0.54898,400.4067
0.66225,0.78278,0.5462,383.8007
0.66522,0.78191,0.55218,407.6252
0.6638,0.78714,0.55561,417.1064
0.6638,0.78714,0.55561,432.4341
0.64793,0.77758,0.54499,399.3753
0.66287,0.77738,0.54889,411.8013
0.67161,0.78481,0.55465,411.6677
0.67161,0.78481,0.55465,420.4325
0.66878,0.78464,0.55698,400.1641
0.65893,0.78198,0.54935,381.2392
0.64969,0.77323,0.53222,345.204
0.64969,0.77323,0.53222,386.9577
0.63554,0.76661,0.52619,392.0359
0.65618,0.77217,0.53943,421.7142
0.65508,0.77242,0.54265,407.6829
0.65508,0.77242,0.54265,377.3127
0.65444,0.76939,0.53934,370.1022
0.64848,0.76939,0.53657,325.8655
0.65454,0.77318,0.5455,382.9012
0.64772,0.77401,0.54227,368.3101
0.64772,0.77401,0.54227,358.2509
0.64247,0.77375,0.53417,383.2441
0.64887,0.77723,0.53454,301.0805
0.63657,0.76982,0.53409,362.9413
0.63657,0.76982,0.53409,372.9531
0.641,0.77307,0.53887,337.4144
0.63976,0.76471,0.53337,307.3257
0.6528,0.77929,0.54588,276.4889
0.6644,0.78372,0.54811,605.5738
0.6644,0.78372,0.54811,431.7545
0.67641,0.78054,0.56812,472.7419
0.67508,0.78283,0.56935,436.1378
0.6736,0.78975,0.57202,399.382
0.6736,0.78975,0.57202,403.4137
0.67878,0.78689,0.57616,430.0741
0.67458,0.78522,0.55527,389.1776
0.66767,0.77544,0.55175,382.0268
0.66767,0.77544,0.55175,368.9848
0.66415,0.77842,0.55421,426.5705
0.67118,0.77554,0.55455,379.2992
0.66748,0.78028,0.55348,429.4792
0.66748,0.78028,0.55348,399.356
0.66468,0.77611,0.55337,344.0373
0.66284,0.77486,0.55453,413.5161
0.66293,0.77752,0.55465,449.8544
0.66293,0.77752,0.55465,428.3357
0.66173,0.78242,0.55675,423.72
0.6564,0.78043,0.55134,379.7522
0.65181,0.7731,0.53198,352.7188
0.65181,0.7731,0.53198,355.8234
0.64461,0.76863,0.5288,441.5046
0.6463,0.76884,0.5364,395.8289
0.65388,0.76985,0.54003,399.6817
0.65388,0.76985,0.54003,415.8072
0.65075,0.77084,0.53535,371.0335
0.65047,0.77181,0.53326,384.5479
0.65196,0.77491,0.54574,416.0194
0.65103,0.77491,0.54574,397.5526
0.65103,0.77491,0.54574,382.6064
0.64332,0.77299,0.53858,358.3887
0.64743,0.77252,0.53392,384.3775
0.63978,0.77319,0.53236,355.3634
0.63978,0.77319,0.53236,393.5645
0.64545,0.77901,0.53298,376.4556
0.63787,0.76892,0.52938,335.1342
0.65409,0.77192,0.54127,344.1881
0.65217,0.76556,0.52719,629.8135
0.65217,0.76556,0.52719,371.1198
0.66667,0.7805,0.54904,478.1767
0.68024,0.78773,0.55922,425.9383
0.67974,0.78987,0.55755,388.6756
0.67974,0.78987,0.55755,402.8455
0.67725,0.78733,0.55667,418.1363
0.6683,0.77374,0.53996,414.5907
0.66191,0.77976,0.54157,412.1697
0.66191,0.77976,0.54157,399.9929
0.66277,0.7725,0.54296,385.0569
0.6674,0.77058,0.53959,374.632
0.66593,0.77954,0.54439,407.0406
0.66593,0.77954,0.54439,360.1232
0.66676,0.78037,0.54773,372.7138
0.66603,0.78205,0.54718,410.3738
0.66603,0.77538,0.54545,413.3353
0.66603,0.77538,0.54545,401.6826
0.66558,0.7801,0.55815,382.4532
0.66031,0.78133,0.55108,391.8861
0.64372,0.76791,0.52622,370.9441
0.64372,0.76791,0.52622,348.8088
0.63774,0.76577,0.52622,429.332
0.63887,0.76303,0.53105,380.1601
0.65025,0.76727,0.53191,407.9664
0.65025,0.76727,0.53191,384.581
0.64982,0.77299,0.52812,361.737
0.64822,0.77124,0.52787,367.9314
0.65754,0.77029,0.53452,396.4734
0.65444,0.77156,0.53584,407.142
0.65444,0.77156,0.53584,361.8146
0.6502,0.77369,0.53312,350.8989
0.65153,0.77385,0.52957,392.5794
0.65042,0.77514,0.54127,403.4525
0.65042,0.77514,0.54127,371.1529
0.65609,0.77582,0.54248,386.7312
0.64666,0.77111,0.53081,329.172
0.65754,0.77134,0.5397,279.4833
0.64669,0.7694,0.52444,599.974
0.64669,0.7694,0.52444,439.4856
0.65814,0.77824,0.54881,480.7019
0.6776,0.78229,0.55877,396.2662
0.67996,0.78061,0.55197,387.7963
0.67996,0.78061,0.55197,454.1011
0.67197,0.7795,0.55455,421.2816
0.6683,0.77374,0.53996,326.3395
0.66191,0.77976,0.54157,425.801
0.66191,0.77976,0.54157,405.596
0.66277,0.7725,0.54296,361.8425
0.6674,0.77058,0.53959,395.3358
0.66593,0.77954,0.54439,419.8707
0.66593,0.77954,0.54439,388.4069
0.66676,0.78037,0.54773,400.3397
0.66603,0.78205,0.54718,415.429
0.66603,0.77538,0.54545,409.1203
0.66603,0.77538,0.54545,414.1208
0.66558,0.7801,0.55815,401.7702
0.66031,0.78133,0.55108,348.894
0.64372,0.76791,0.52622,371.1822
0.64372,0.76791,0.52622,357.5189
0.63774,0.76577,0.52622,409.0411
0.63887,0.76303,0.53105,407.565
0.65025,0.76727,0.53191,358.094
0.64982,0.77299,0.52812,393.9491
0.64982,0.77299,0.52812,405.4369
0.64822,0.77124,0.52787,373.4799
0.65754,0.77029,0.53452,409.4251
0.65444,0.77156,0.53584,376.1256
0.65444,0.77156,0.53584,391.7482
0.6502,0.77369,0.53312,394.4148
0.65153,0.77385,0.52957,381.5319
0.65042,0.77514,0.54127,340.4522
0.65042,0.77514,0.54127,391.9846
0.65609,0.77582,0.54248,375.5969
0.64666,0.77111,0.53081,296.019
0.65754,0.77134,0.5397,280.3036
0.64669,0.7694,0.52444,329.8049
0.64669,0.7694,0.52444,384.528
0.65814,0.77824,0.54881,411.987
0.6776,0.78229,0.55877,394.2657
0.67996,0.78061,0.55197,377.1819
0.67996,0.78061,0.55197,454.4924
0.67197,0.7795,0.55455,410.5794
0.66195,0.77372,0.54442,368.8653
0.64925,0.77154,0.54237,390.8678
0.64925,0.77154,0.54237,433.0687
0.65339,0.76755,0.54411,370.2604
0.66356,0.77388,0.53994,378.7864
0.66667,0.77508,0.54933,354.2188
0.66667,0.77508,0.54933,425.5616
0.66776,0.77526,0.54785,393.7025
0.66469,0.78085,0.55059,401.457
0.66336,0.77765,0.54208,343.2565
0.66336,0.77765,0.54208,352.4396
0.66776,0.77855,0.55635,419.2917
0.65741,0.77151,0.54864,397.7393
0.63743,0.76396,0.52585,429.1397
0.63743,0.76396,0.52585,359.1207
0.63509,0.75789,0.52634,365.9273
0.64673,0.76725,0.53557,376.8241
0.64999,0.76654,0.53618,353.6705
0.64924,0.76534,0.52972,360.7603
